Soil_Type,pH_Level,Organic_Matter,Nitrogen,Phosphorus,Potassium,Water_Retention_Capacity,Soil_Texture,Soil_Structure,Soil_Depth,Crop
Loam,7.89,62.52,31.51,49.15,82.01,13.26,Sand,Compacted,44.62,Corn
Sandy,12.63,4.32,30.19,98.06,53.95,62.63,Sand,Aggregated,48.49,Rice
Sandy,5.88,9.7,46.19,96.3,34.18,79.89,Clay,Aggregated,20.82,Rice
Clay,4.97,89.73,58.2,71.25,68.36,94.66,Silt,Aggregated,5.13,Corn
Clay,13.91,23.65,37.43,21.4,10.54,23.25,Silt,Compacted,63.44,Wheat
Clay,10.95,98.24,16.81,47.46,54.89,43.61,Silt,Aggregated,39.36,Wheat
Clay,9.47,95.39,47.7,87.89,79.22,26.54,Clay,Compacted,82.27,Rice
Loam,13.67,67.52,69.94,45.96,6.97,99.8,Silt,Compacted,6.82,Corn
Sandy,8.75,1.64,72.12,0.77,8.48,22.55,Clay,Aggregated,35.49,Rice
Sandy,13.58,28.14,24.64,7.75,89.21,3.45,Sand,Aggregated,0.09,Corn
Clay,7.51,0.35,48.09,92.75,19.84,5.21,Clay,Aggregated,37.24,Wheat
Loam,1.35,92.01,68.09,90.42,60.75,81.2,Clay,Aggregated,34.96,Wheat
Clay,6.23,10.4,46.59,64.81,29.77,89.23,Silt,Aggregated,28.24,Wheat
Clay,6.41,77.13,73.8,47.32,50.19,83.57,Silt,Compacted,51.06,Wheat
Sandy,2.2,60.29,36.42,56.46,19.13,67.69,Silt,Compacted,74.18,Wheat
Loam,5.35,54.3,69.4,91.21,58.07,23.27,Silt,Aggregated,77.78,Wheat
Sandy,11.67,46.49,77.98,23.75,33.26,95.37,Silt,Aggregated,77.29,Wheat
Sandy,7.74,41.17,2.95,5.4,11.7,62.85,Clay,Compacted,12.91,Wheat
Clay,5.69,21.07,42.12,21.8,84.58,45.63,Sand,Aggregated,93.29,Rice
Clay,12.83,4.34,70.71,48.39,44.42,3.63,Clay,Compacted,46.58,Corn
Loam,11.46,16.68,77.01,46.94,92.54,33.08,Silt,Aggregated,48.42,Rice
Sandy,11.61,32.3,97.21,98.74,40.87,65.59,Clay,Aggregated,25.73,Rice
Loam,10.53,13.59,56.71,2.32,1.75,47.28,Silt,Compacted,88.71,Wheat
Clay,8.65,9.87,9.63,56.56,75.67,13.91,Sand,Aggregated,98.84,Rice
Clay,7.35,60.6,0.71,6.27,65.67,15.91,Silt,Aggregated,39.51,Rice
Clay,8.93,82.13,48.11,24.69,40.23,20.45,Silt,Compacted,61.27,Wheat
Clay,10.16,34.95,27.74,99.89,4.06,64.58,Sand,Aggregated,76.02,Rice
Sandy,2.17,64.84,73.26,67.81,5.19,29.43,Silt,Aggregated,28.71,Corn
Clay,2.7,61.22,98.82,90.26,22.22,0.01,Silt,Compacted,88.27,Corn
Loam,10.68,21.28,39.23,85.15,12.76,89.39,Silt,Compacted,42.61,Wheat
Sandy,11.45,85.77,92.24,30.34,33.98,59.51,Silt,Compacted,93.28,Wheat
Sandy,7.21,61.72,40.47,99.25,9.89,22.06,Sand,Aggregated,44.7,Rice
Clay,1.44,98.26,61.6,5.89,66.12,37.84,Silt,Compacted,1.3,Rice
Clay,1.68,11.29,74.74,89.18,95.66,95.63,Clay,Compacted,92.03,Rice
Sandy,9.95,18.46,56.97,30.76,85.29,39.8,Silt,Aggregated,16.75,Wheat
Loam,11.45,20.22,92.94,88.46,35.71,32.18,Clay,Compacted,82.78,Rice
Loam,11.34,49.2,44.19,31.84,28.45,96.59,Clay,Compacted,88.4,Corn
Sandy,12.16,85.24,95.63,69.79,80.54,73.31,Silt,Compacted,71.74,Wheat
Clay,7.71,79.27,24.3,46.51,43.5,40.28,Sand,Compacted,44.62,Corn
Loam,7.28,44.04,77.88,0.32,10.87,54.68,Clay,Aggregated,12.52,Rice
Sandy,11.07,35.17,76.16,65.64,56.19,59.68,Clay,Aggregated,91.98,Rice
Sandy,10.81,97.85,98.78,78.79,42.97,12.45,Silt,Compacted,12.21,Wheat
Loam,8.21,55.26,37.98,2.94,66.77,16.09,Silt,Aggregated,55.29,Corn
Sandy,4.61,42.29,56.14,35.33,36.29,15.89,Silt,Aggregated,35.71,Wheat
Sandy,12.59,43.76,75.23,46.35,24.57,42.56,Sand,Compacted,99.87,Wheat
Clay,13.38,80.86,16.48,20.71,65.56,76.47,Clay,Compacted,16.33,Rice
Loam,3.96,58.94,58.76,96.74,65.77,58.49,Clay,Compacted,76.47,Rice
Clay,3.91,78.0,79.23,56.93,35.13,55.75,Silt,Aggregated,70.91,Corn
Sandy,5.43,0.42,42.23,83.01,17.38,38.92,Sand,Compacted,53.25,Wheat
Loam,7.29,33.84,77.41,47.6,87.04,99.58,Sand,Aggregated,61.17,Rice
Sandy,8.34,89.36,25.14,32.39,66.9,79.38,Clay,Aggregated,20.93,Corn
Clay,3.75,94.3,86.06,70.3,45.35,53.7,Clay,Aggregated,2.73,Corn
Clay,11.57,85.99,10.35,66.3,71.01,29.45,Clay,Aggregated,27.87,Wheat
Loam,7.75,69.43,24.47,33.86,56.36,88.67,Sand,Aggregated,55.95,Rice
Clay,11.96,96.4,4.23,1.42,44.46,34.14,Sand,Compacted,63.28,Wheat
Sandy,3.52,33.72,51.44,14.66,27.22,35.09,Sand,Aggregated,23.25,Rice
Loam,8.62,83.54,43.09,62.5,55.44,97.57,Sand,Compacted,51.98,Wheat
Loam,1.5,52.83,2.81,44.22,99.41,33.94,Silt,Aggregated,15.33,Wheat
Loam,2.66,98.79,83.53,89.94,51.37,11.44,Silt,Aggregated,33.06,Corn
Clay,13.32,84.12,15.87,41.99,24.62,20.53,Clay,Compacted,48.61,Rice
Loam,2.3,54.48,34.7,39.11,31.05,38.72,Sand,Compacted,45.25,Rice
Loam,3.94,24.99,35.09,78.57,9.06,3.66,Clay,Aggregated,90.84,Corn
Clay,10.92,43.23,57.42,36.79,11.84,77.09,Clay,Aggregated,39.31,Wheat
Sandy,5.65,44.55,74.25,80.03,96.03,2.18,Sand,Aggregated,17.33,Wheat
Loam,5.92,28.49,57.91,3.07,98.5,1.34,Clay,Aggregated,56.49,Corn
Sandy,9.41,40.26,39.3,88.43,94.7,24.73,Clay,Aggregated,28.39,Wheat
Clay,11.56,78.56,8.91,95.2,52.75,59.64,Clay,Compacted,64.95,Wheat
Clay,9.76,97.01,70.11,82.17,4.5,67.27,Silt,Aggregated,10.17,Rice
Clay,8.98,9.83,59.45,47.84,23.33,1.98,Clay,Compacted,61.99,Corn
Sandy,4.99,75.11,75.86,71.88,10.12,51.62,Silt,Compacted,74.48,Rice
Clay,5.8,42.87,73.28,66.26,55.79,35.01,Silt,Aggregated,18.38,Wheat
Loam,8.58,92.26,68.96,19.17,95.43,79.72,Silt,Aggregated,12.46,Corn
Sandy,9.77,60.85,38.57,15.92,49.39,17.9,Silt,Aggregated,87.07,Rice
Loam,5.15,71.94,96.43,1.61,24.89,33.13,Silt,Compacted,75.05,Rice
Sandy,6.64,35.26,39.11,17.98,36.45,20.56,Silt,Compacted,72.58,Rice
Clay,1.2,3.01,33.91,82.1,45.88,1.48,Clay,Compacted,73.99,Wheat
Sandy,3.88,67.85,45.83,71.41,42.11,52.13,Sand,Compacted,44.82,Wheat
