Temperature,Precipitation,Humidity,Wind Speed,Sunlight Hours,Solar radiation,Evapotranspiration rates,Historical weather events,Forecast data,crop
10.52,0.5,66.67,2.33,14.04,440.36,12.73,frosts,29.76,Corn
26.17,0.51,77.19,4.97,8.75,238.53,9.45,frosts,29.54,Wheat
31.72,2.39,32.15,2.96,14.77,324.05,6.91,frosts,17.09,Rice
11.22,1.26,42.92,16.47,13.97,223.82,7.23,droughts,23.76,Soybeans
26.11,1.06,36.14,17.44,13.82,474.96,12.38,frosts,17.12,Rice
12.19,2.0,53.8,15.75,11.66,235.14,9.99,floods,29.41,Wheat
12.86,2.83,79.16,10.52,12.39,198.21,6.37,normal,32.51,Soybeans
16.79,1.83,79.11,2.28,12.67,273.26,14.86,droughts,22.63,Rice
14.4,2.18,53.2,9.54,8.6,444.33,9.74,floods,21.46,Soybeans
25.65,2.84,81.19,10.09,14.44,491.74,9.69,droughts,32.58,Rice
13.61,0.8,42.75,16.83,12.49,423.09,13.04,droughts,24.98,Soybeans
26.17,2.84,83.09,9.14,11.65,417.64,6.24,droughts,16.85,Wheat
31.79,2.6,76.99,14.35,14.73,167.7,7.34,frosts,27.78,Corn
32.78,2.33,42.06,6.95,11.56,411.49,9.97,frosts,30.71,Corn
16.94,0.79,63.94,16.73,13.29,302.38,5.52,frosts,20.35,Corn
34.23,0.73,54.92,3.3,12.98,232.03,12.79,normal,34.96,Rice
18.86,2.83,60.79,12.51,14.66,263.03,13.51,frosts,19.92,Corn
19.89,2.39,59.03,14.07,9.12,274.79,10.51,droughts,12.85,Barley
26.12,2.29,67.29,9.89,12.7,123.49,9.91,droughts,17.54,Corn
24.96,0.05,43.97,8.91,12.66,245.86,10.13,normal,17.61,Barley
23.62,0.6,79.12,14.16,13.18,159.03,4.68,normal,31.21,Rice
18.02,1.82,57.2,4.62,13.51,451.88,4.3,droughts,23.75,Wheat
13.11,1.19,30.12,12.36,14.34,335.62,14.3,frosts,10.72,Soybeans
10.82,0.04,73.88,6.85,9.41,318.09,9.85,floods,34.05,Wheat
18.71,1.27,49.52,15.07,12.89,175.31,4.84,normal,29.51,Soybeans
15.08,1.01,32.32,7.44,12.03,360.24,13.9,normal,22.49,Wheat
26.79,2.63,50.07,7.83,12.88,441.45,10.06,floods,15.71,Soybeans
17.63,2.51,33.6,18.84,11.8,246.74,14.49,normal,12.55,Corn
22.5,1.96,82.89,13.76,12.96,117.82,12.06,normal,20.89,Rice
34.67,2.49,73.78,14.84,14.33,208.27,6.5,droughts,22.16,Soybeans
34.0,1.95,82.8,12.61,14.01,437.52,6.55,frosts,34.66,Soybeans
27.69,1.06,66.85,10.34,9.32,427.71,14.26,frosts,32.87,Rice
24.43,2.19,74.75,11.6,13.47,175.73,3.78,frosts,14.0,Wheat
18.06,1.55,43.52,13.97,9.56,292.69,11.62,frosts,16.25,Corn
31.68,0.35,77.57,19.43,13.16,299.7,3.99,normal,25.42,Barley
34.08,0.69,36.67,11.2,13.05,112.2,6.34,normal,25.0,Soybeans
30.55,2.64,61.21,14.11,13.4,394.68,9.78,floods,16.69,Barley
