Crop Type,Yield Records,Crop Rotation History,Responses to Conditions,Historical yield data,Crop growth stages,Crop-specific responses,Water usage,Input usage,Harvest quality measures
Corn,89,Wheat-Barley,Normal,96,5,Low,4025,Medium,6
Corn,57,Sorghum-Rye,Dry,98,3,Medium,4597,Medium,4
Corn,52,Wheat-Barley,Normal,76,3,Medium,3133,Low,6
Wheat,52,Corn-Soybeans,Normal,61,3,High,1613,Low,5
Rye,56,Corn-Soybeans,Normal,71,2,Medium,4983,Low,7
Barley,72,Wheat-Barley,Normal,57,5,High,3531,Medium,1
Sorghum,60,Corn-Soybeans,Normal,66,2,High,4017,High,9
Sorghum,78,Wheat-Barley,Dry,89,3,Low,4704,High,8
Corn,84,Soybeans-Corn,Wet,90,5,High,4630,High,7
Barley,78,Corn-Soybeans,Dry,96,1,Low,4152,Low,2
Rye,64,Barley-Oats,Normal,81,4,High,2940,Low,10
Oats,54,Soybeans-Corn,Wet,85,2,Medium,3318,High,6
Sorghum,58,Wheat-Barley,Wet,84,3,Medium,1247,Low,6
Oats,58,Sorghum-Rye,Dry,54,5,Low,3382,Low,10
Rye,63,Soybeans-Corn,Dry,97,2,Medium,4550,High,8
Rye,68,Sorghum-Rye,Wet,51,5,High,2871,Medium,1
Rye,89,Barley-Oats,Normal,82,3,High,2513,High,4
Corn,72,Soybeans-Corn,Normal,87,2,Low,4060,Low,6
Sorghum,59,Sorghum-Rye,Wet,79,2,High,4352,Low,4
Oats,56,Barley-Oats,Dry,98,5,Medium,4442,Low,8
Wheat,77,Barley-Oats,Dry,97,2,High,3844,High,10
Oats,51,Wheat-Barley,Normal,58,4,High,1733,Medium,2
Sorghum,91,Corn-Soybeans,Normal,68,1,High,3521,Low,5
Wheat,99,Sorghum-Rye,Wet,86,1,Medium,4195,Low,3
Soybeans,77,Barley-Oats,Wet,84,3,Low,2319,High,4
Oats,92,Wheat-Barley,Normal,78,2,High,1447,Low,5
Corn,50,Soybeans-Corn,Wet,98,3,High,3549,Low,9
Soybeans,56,Corn-Soybeans,Dry,84,2,Low,4291,High,3
Rye,61,Corn-Soybeans,Wet,60,5,Low,2637,High,6
Rye,91,Barley-Oats,Wet,93,5,High,2755,Medium,7
Wheat,62,Soybeans-Corn,Wet,74,5,High,3805,Low,4
Soybeans,82,Barley-Oats,Normal,83,2,Low,3318,High,5
Wheat,61,Sorghum-Rye,Normal,77,3,Low,1232,High,3
Sorghum,75,Sorghum-Rye,Wet,51,3,Low,3580,Low,3
Oats,55,Sorghum-Rye,Wet,87,3,High,1237,High,8
Soybeans,74,Sorghum-Rye,Wet,57,4,Low,3417,Low,5
Rye,86,Corn-Soybeans,Normal,95,4,Low,2193,High,6
Sorghum,82,Wheat-Barley,Normal,84,1,High,4937,Medium,7
Corn,53,Barley-Oats,Wet,99,2,High,3632,High,2
Corn,59,Sorghum-Rye,Dry,64,1,High,3115,Medium,7
Rye,82,Barley-Oats,Normal,82,1,Low,4242,Low,1
Rye,56,Corn-Soybeans,Wet,50,2,Low,3843,High,8
